altitude,id,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks,executionTime
,220,K3_FULL,13123,3/5/2019 10:26,41.931248,,-87.644336,60614,Clark St & Drummond Pl,,Clark St & Drummond Pl,IN_SERVICE,1,In Service,FALSE,23,3/5/2019 10:27
,222,K3_FULL,13242,3/5/2019 10:26,41.920195,,-87.693033,60647,Milwaukee Ave & Rockwell St,,Milwaukee Ave & Rockwell St,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,223,K3_FULL,13185,3/5/2019 10:24,41.918216,,-87.656936,60614,Clifton Ave & Armitage Ave,,Clifton Ave & Armitage Ave,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,224,K3_FULL,13181,3/5/2019 10:24,41.913865,,-87.648755,60614,Halsted St & Willow St,,Halsted St & Willow St,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,225,K3_FULL,13192,3/5/2019 10:23,41.919936,,-87.64883,60614,Halsted St & Dickens Ave,,Halsted St & Dickens Ave,IN_SERVICE,1,In Service,FALSE,23,3/5/2019 10:27
,226,K3_FULL,13230,3/5/2019 10:24,41.939743,,-87.658865,60657,Racine Ave & Belmont Ave,,Racine Ave & Belmont Ave,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,227,K3_FULL,13235,3/5/2019 10:24,41.94815,,-87.66394,60613,Southport Ave & Waveland Ave,,Southport Ave & Waveland Ave,IN_SERVICE,1,In Service,FALSE,23,3/5/2019 10:27
,228,K3_FULL,13143,3/5/2019 10:23,41.9406,,-87.6785,60618,Damen Ave & Melrose Ave,,Damen Ave & Melrose Ave,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,229,K3_FULL,13071,3/5/2019 10:25,41.943739,,-87.66402,60657,Southport Ave & Roscoe St,,Southport Ave & Roscoe St,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,230,K3_FULL,13078,3/5/2019 10:24,41.94334,,-87.67097,60657,Lincoln Ave & Roscoe St,,Lincoln Ave & Roscoe St,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,231,K3_FULL,13130,3/5/2019 10:22,41.96167,,-87.65464,60613,Sheridan Rd & Montrose Ave,,Sheridan Rd & Montrose Ave,IN_SERVICE,1,In Service,FALSE,23,3/5/2019 10:27
,232,K3_FULL,13273,3/5/2019 10:24,41.949275,,-87.646303,60613,Pine Grove Ave & Waveland Ave,,Pine Grove Ave & Waveland Ave,IN_SERVICE,1,In Service,FALSE,23,3/5/2019 10:27
,233,K3_FULL,13409,3/5/2019 10:25,41.883165,,-87.6511,60607,Sangamon St & Washington Blvd (*),,Sangamon St & Washington Blvd (*),IN_SERVICE,1,In Service,FALSE,16,3/5/2019 10:27
,234,K3_FULL,13316,3/5/2019 10:25,41.961588,,-87.666036,60613,Clark St & Montrose Ave,Old Kiosk from Clinton & Polk which is a Smart Panel now,Clark St & Montrose Ave,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,236,K3_FULL,13410,3/5/2019 10:25,41.907626,,-87.638566,60610,Sedgwick St & Schiller St,,Sedgwick St & Schiller St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,237,K3_FULL,13214,3/5/2019 10:24,41.842052,,-87.617,60616,MLK Jr Dr & 29th St,,MLK Jr Dr & 29th St,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,238,K3_FULL,13092,3/5/2019 10:23,41.961406,,-87.676169,60613,Wolcott (Ravenswood) Ave & Montrose Ave (*),,Wolcott (Ravenswood) Ave & Montrose Ave (*),IN_SERVICE,1,In Service,FALSE,16,3/5/2019 10:27
,239,K3_FULL,13112,3/5/2019 10:26,41.966555,,-87.688487,60625,Western Ave & Leland Ave,,Western Ave & Leland Ave,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,240,K3_FULL,13063,3/5/2019 10:26,41.954245,,-87.654406,60613,Sheridan Rd & Irving Park Rd,,Sheridan Rd & Irving Park Rd,IN_SERVICE,1,In Service,FALSE,27,3/5/2019 10:27
,241,K3_FULL,13168,3/5/2019 10:25,41.871737,,-87.65103,60607,Morgan St & Polk St,,Morgan St & Polk St,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,242,K3_FULL,13093,3/5/2019 10:25,41.967094,,-87.679028,60625,Damen Ave & Leland Ave,,Damen Ave & Leland Ave,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,243,K3_FULL,13126,3/5/2019 10:23,41.963004,,-87.684781,60625,Lincoln Ave & Sunnyside Ave,,Lincoln Ave & Sunnyside Ave,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,244,K3_FULL,13087,3/5/2019 10:25,41.95469,,-87.67393,60613,Ravenswood Ave & Irving Park Rd,,Ravenswood Ave & Irving Park Rd,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,245,K3_FULL,13389,3/5/2019 10:27,41.961004,,-87.649603,60613,Clarendon Ave & Junior Ter,,Clarendon Ave & Junior Ter,IN_SERVICE,1,In Service,FALSE,23,3/5/2019 10:27
